session_id,"question_key","answer_value",answer_order
1396025,"location","f7adf8a8a52021a403e22a645a7264cb",20
1396026,"currentSavings","4",23
1396026,"location","c74956ffb38ba48ed6ce977af6727275",20
1396027,"currentSavings","4",23
1396027,"location","71fd8cc09fb458e1bbb0d1d63f911ddf",20
1396028,"currentSavings","3",21
1396028,"location","d2011fecc8aa23891bfc92d512875301",18
1396029,"currentSavings","0",23
1396029,"location","944eefd22dfe99fe7631b8ecc732c7cf",20
1396030,"currentSavings","4",24
1396030,"location","a4ec5ed84d4b6512476aa2ab5dc1feb3",21
1396031,"currentSavings","3",25
1396031,"location","c2d66ff26f1f223f1e10dca39d327c8d",22
1396032,"currentSavings","0",22
1396032,"location","86d241e5831d15be3be6e96c9bc0d85f",19
1396033,"currentSavings","3",23
1396033,"location","f1f4aac98f256da03bf3e24fcbbd6b96",20
1396034,"currentSavings","0",22
1396034,"location","267eb3281384a8c96197cc123d6e1cdc",19
1396035,"currentSavings","1",23
1396035,"location","1d9d4cc0b81e1d72fcc5e2650204e288",20
1396036,"currentSavings","3",26
1396036,"location","d10dfdebe82ba75c66089b643cdd4c59",23
1396037,"currentSavings","4",24
1396037,"location","9da6725a09684165e1739b6f3f38b087",21
1396038,"currentSavings","0",23
1396038,"location","4113e430544c25cc1af8e2317f4b7875",20
1396039,"currentSavings","2",23
1396039,"location","7e4a87d1535b45ecbf1bdcc74aeae875",20
1396040,"currentSavings","0",24
1396040,"location","8fd556ca85cab1dbaf59deae4982db92",21
1396041,"currentSavings","2",24
1396041,"location","c7c78f106a8458a6c7794002e878a9d8",21
1396042,"currentSavings","5",24
1396042,"location","d395cc3a4ae7ae24afc7d0019a102ba5",21
1396043,"currentSavings","0",22
1396043,"location","a672456752576fe6ff7b8f3aa212ec62",19
1396044,"currentSavings","4",22
1396044,"location","f48379ea32cff607c810d55e03611bf2",19
1396045,"currentSavings","3",23
1396045,"location","5e2fc66b7aaa02f77df5a42a0ffdd488",20
1396046,"currentSavings","0",25
1396046,"location","5c2bcd80b1f8eca5aa994743bb15a400",22
1396047,"currentSavings","3",24
1396047,"location","baa871c3119c1d85f9e73b34c6f10dc3",21
1396048,"currentSavings","2",24
1396048,"location","c9b2c3e73b3b3f66e03d077fbf632764",21
1396049,"currentSavings","3",25
1396049,"location","aac7b7cb07315ca154d20b8a94366411",22
1396050,"currentSavings","3",25
1396050,"location","f4c5d6f82c2b24aa75bcca1aaca4a6bb",22
1396051,"currentSavings","3",25
1396051,"location","9161c40259f77d7336c7147f83fe3ecc",22
1396052,"currentSavings","2",23
1396052,"location","37ed3938f2f5b399dfd0b62606f39d9b",20
1396053,"currentSavings","3",25
1396053,"location","bb24c3e3687e57b7db6ec47711b21770",22
1396054,"currentSavings","4",22
1396054,"location","403a3de63e8383ad7c6847916117d735",19
1396055,"currentSavings","3",24
1396055,"location","4af1c7e1589ea585b642cc32dffb523f",21
1396056,"currentSavings","3",22
1396056,"location","1f174732666504ba5c44a157ecb2162c",19
1396057,"currentSavings","1",23
1396057,"location","d742f2cf9c8cf84af3f4a02f1c4da874",20
1396058,"currentSavings","3",23
1396058,"location","0261d99912e53189364ba7bdb1b952b4",20
1396059,"currentSavings","0",23
1396059,"location","495197e3cba1ed3c94dbc07d1abed4b2",20
1396060,"currentSavings","2",23
1396060,"location","84de9d89100ffc642b4d843e09873f91",20
1396061,"currentSavings","3",25
1396061,"location","c09878af469fe88e2e53edcf4894de1b",22
1396062,"currentSavings","1",24
1396062,"location","f0b9c7828b267d70641098732aaca656",21
1396063,"currentSavings","2",23
1396063,"location","93fd69b9d722d5eb9924a8e48cad4c32",20
1396064,"currentSavings","3",26
1396064,"location","d65bffd28c396d6b8b64582fd749730c",23
1396065,"currentSavings","3",22
1396065,"location","8efa9015a4ef4632a954e820eca834ad",19
1396066,"currentSavings","3",23
1396066,"location","84634b38369065bd59d7093454b8d8d5",20
1396067,"currentSavings","3",24
1396067,"location","8853eb7bd2f10ea230ef86fe04a54c69",21
1396068,"currentSavings","0",22
1396068,"location","8664ff5bf65650d02f11a422f1010b5c",19
1396069,"currentSavings","3",25
1396069,"location","65b2bc9eb35261e785fdb1a9bc02b6b1",22
1396070,"currentSavings","3",24
1396070,"location","03df594d0fc86cbc9e8c49f6a4be1f7d",21
1396071,"currentSavings","0",24
1396071,"location","c3beb22d8bb8a4b874fd7bb8a8914643",21
1396072,"currentSavings","2",25
1396072,"location","4738d3e80d86e941acb882e1afef5119",22
1396073,"currentSavings","5",22
1396073,"location","284f1af29dbec7011d193e0411d9d3e9",19
1396074,"currentSavings","3",22
1396074,"location","fe2bea6aeb9a3568ed12ac54fdad114f",19
1396075,"currentSavings","3",23
1396075,"location","02b4ec8cbcb99b815202dfbd32efc2ef",20
1396076,"currentSavings","2",23
1396076,"location","60e4ac6a656ef4b4fd82aaaf25f14736",20
1396077,"currentSavings","0",25
1396077,"location","3c8aad396b170bc506e316d9225735b0",22
1396078,"currentSavings","3",24
1396078,"location","8ff302cbcd558665d01d69745c80ad6f",21
1396079,"currentSavings","1",23
1396079,"location","1c10102f743b0c51628a92455d32ed2f",20
1396080,"currentSavings","4",23
1396080,"location","5371357da648282c3b9cb10dc7601608",20
1396081,"currentSavings","0",23
1396081,"location","7808b4146e8f20003b7e6fb7c1fa6242",20
1396082,"currentSavings","2",26
1396082,"location","46dae4d4627570456b79473173f92f0f",23
1396083,"currentSavings","0",24
1396083,"location","9bf16288d39fe158b77c0dafc21b96b3",21
1396084,"currentSavings","1",25
1396084,"location","185579414f75374765553e6113a4b9ee",22
1396085,"currentSavings","2",23
1396085,"location","b5e3253e1fdac9ad83e82c989a6d3c23",20
1396086,"currentSavings","0",21
1396086,"location","69f4b86205abcf82d67238baa762fba4",18
1396087,"currentSavings","4",23
1396087,"location","0f3d91c9faca5e2c625f1ecf5ab3460e",20
1396088,"currentSavings","4",23
1396088,"location","f1a5c7d32bac9f6ac84f5aadb1d8a94b",20
1396089,"currentSavings","3",21
1396089,"location","9e925dc2d11970c33393990e93664e9d",18
1396090,"currentSavings","4",25
1396090,"location","82e3a8ee1c483419cf38a40bab6306bc",22
1396091,"currentSavings","3",24
1396091,"location","8ff302cbcd558665d01d69745c80ad6f",21
1396092,"currentSavings","0",22
1396092,"location","0a3dc7aa90796d1a96254e67c1e4378f",19
1396093,"currentSavings","0",25
1396093,"location","d7073295c67ea127c765c6cb765d1791",22
1396094,"currentSavings","0",24
1396094,"location","edb24109f64fd8d18c12f6cfe0fe8868",21
1396095,"currentSavings","4",23
1396095,"location","d95d1855493a1eada43198062b58ed32",20
1396096,"currentSavings","3",25
1396096,"location","35558ada9754b5930f2a799e763d43be",22
1396097,"currentSavings","3",23
1396097,"location","a15fe45d5fa313e9e05763c64c6de9a9",20
1396098,"currentSavings","0",22
1396098,"location","f0b9c7828b267d70641098732aaca656",19
1396099,"currentSavings","4",24
1396099,"location","518d52eee664842ce523e2cce507315c",21
1396100,"currentSavings","4",25
1396100,"location","10bc43c3b183653c2d26236c6c225d38",22
1396101,"currentSavings","0",22
1396101,"location","8c67b58f15141ab4d1e6319d80b3c434",19
1396102,"currentSavings","3",24
